titre	url Page d’histoire	sujet	url sujet	agent	url agent	Lieux	url Lieux
Accession au trône d'Angleterre de Guillaume le Conquérant	https://francearchives.fr/pages_histoire/39557	monarchie###chef d'État###Moyen Âge	https://francearchives.fr/fr/subject/223584###https://francearchives.fr/fr/subject/128993633###https://francearchives.fr/fr/subject/131572578	Guillaume I (1028?-1087 ; roi d'Angleterre) 	https://francearchives.fr/fr/agent/261182698		https://francearchives.fr/fr/location/130298218
Alberto Giacometti	https://francearchives.fr/fr/pages_histoire/39102	sculpture 	https://francearchives.fr/fr/subject/130953741	Giacometti, Alberto (1901-1966)	https://francearchives.fr/fr/agent/30340686		
Alberto Giacometti	https://francearchives.fr/pages_histoire/39399	sculpture 	https://francearchives.fr/fr/subject/130953741	Giacometti, Alberto (1901-1966)	https://francearchives.fr/fr/agent/30340686		
Attribution du prix Nobel de physique à Alfred Kastler	https://francearchives.fr/pages_histoire/39221	sciences physiques###distinction honorifique###découverte scientifique	https://francearchives.fr/fr/subject/30299720###https://francearchives.fr/fr/subject/128993688###https://francearchives.fr/fr/subject/169254679	Kastler, Alfred (1902-1984) 	https://francearchives.fr/fr/agent/18510569		
Ambroise Vollard	https://francearchives.fr/pages_histoire/39295	peinture###commerce###vie intellectuelle	https://francearchives.fr/fr/subject/132028797###https://francearchives.fr/fr/subject/130956190###https://francearchives.fr/fr/subject/222798				
Anne d’Autriche	https://francearchives.fr/pages_histoire/39674	monarchie###condition féminine###cancer	https://francearchives.fr/fr/subject/223584###https://francearchives.fr/fr/subject/18258287###https://francearchives.fr/fr/subject/131022224	Anne d'Autriche (1601-1666 ; reine de France) ; Louis XIII (1601-1643 ; roi de France) ; Louis XIV (1638-1715 ; roi de France) ; Mazarin, Jules (1602-1661)	https://francearchives.fr/fr/agent/130801564###https://francearchives.fr/fr/agent/130891559###https://francearchives.fr/fr/agent/130776325###https://francearchives.fr/fr/agent/19462793		
Arrivée à Rio de Janeiro de la mission artistique française	https://francearchives.fr/pages_histoire/39459	art###relations internationales###Restauration (1815-1830)	https://francearchives.fr/fr/subject/131990462###https://francearchives.fr/fr/subject/171741911###https://francearchives.fr/fr/subject/224126557			Rio de Janeiro (Brésil)	https://francearchives.fr/fr/location/217932703
Arrivée en France de Léonard de Vinci	https://francearchives.fr/pages_histoire/39562	Renaissance###mécenat###art	https://francearchives.fr/fr/subject/131693346###https://francearchives.fr/fr/subject/256760505###https://francearchives.fr/fr/subject/131990462	Léonard de Vinci (1452-1519) ; François Ier (1494-1547 ; roi de France)	https://francearchives.fr/fr/agent/131450578###https://francearchives.fr/fr/agent/130736650	Amboise (Indre-et-Loire, France)	https://francearchives.fr/fr/location/217170900
Avènement de Philippe V le Long	https://francearchives.fr/pages_histoire/39558	monarchie###chef d'État###succession###condition féminine###Moyen Âge	https://francearchives.fr/fr/subject/223584###https://francearchives.fr/fr/subject/128993633###https://francearchives.fr/fr/subject/131536224###https://francearchives.fr/fr/subject/18258287###https://francearchives.fr/fr/subject/131572578	Philippe V (1294-1322 ; roi de France) 	https://francearchives.fr/fr/agent/221830399		
Charles de Foucauld	https://francearchives.fr/fr/pages_histoire/39214	officier militaire###ministre du culte###colonisation	https://francearchives.fr/fr/subject/219703064###https://francearchives.fr/fr/subject/129244593###https://francearchives.fr/fr/subject/131003147	Foucauld, Charles de (1858-1916) 	https://francearchives.fr/fr/agent/18868879		
Charles de La Fosse	https://francearchives.fr/pages_histoire/39368	peinture###vie intellectuelle	https://francearchives.fr/fr/subject/132028797###https://francearchives.fr/fr/subject/222798	La Fosse, Charles de (1636-1716) 	https://francearchives.fr/fr/agent/292072477		
Charles Nicolle	https://francearchives.fr/pages_histoire/38994	médecin###découverte scientifique###distinction honorifique	https://francearchives.fr/fr/subject/217848993###https://francearchives.fr/fr/subject/169254679###https://francearchives.fr/fr/subject/128993688	Nicolle, Charles (1866-1936) ; Institut Pasteur (Tunis)	https://francearchives.fr/fr/agent/301163614###https://francearchives.fr/fr/agent/291718439		
Conclusion du concordat de Bologne	https://francearchives.fr/pages_histoire/39504	catholicisme###institution ecclésiastique###institution monastique###monarchie###papauté	https://francearchives.fr/fr/subject/130736691###https://francearchives.fr/fr/subject/18275965###https://francearchives.fr/fr/subject/222196###https://francearchives.fr/fr/subject/223584###https://francearchives.fr/fr/subject/222216	François Ier (1494-1547 ; roi de France) ; Léon X (1475-1521 ; pape)	https://francearchives.fr/fr/agent/130736650###https://francearchives.fr/fr/agent/27355312	Bologne (Italie)	https://francearchives.fr/fr/location/217232224
Création de l’Académie des beaux-arts	https://francearchives.fr/pages_histoire/39954	art###société savante	https://francearchives.fr/fr/subject/131990462###https://francearchives.fr/fr/subject/131928557				
Création de l’Académie des Sciences	https://francearchives.fr/pages_histoire/39370	société savante	https://francearchives.fr/fr/subject/131928557	Académie des sciences (France) ; Institut de France	https://francearchives.fr/fr/agent/214713620		
