titre	url Page d’histoire	sujet	url sujet	agent	url agent	Lieux	url Lieux
Alexandre Sergueievitch Pouchkine	https://francearchives.fr/pages_histoire/39268	littérature	https://francearchives.fr/fr/subject/301150616	Pouchkine, Alexandre (1799-1837 ; poète, dramaturge et romancier russe) 	https://francearchives.fr/fr/agent/301273835	Russie	https://francearchives.fr/fr/location/165943768
Alfred Sisley	https://francearchives.fr/pages_histoire/39714	peinture 	https://francearchives.fr/fr/subject/132028797	Sisley, Alfred (1839-1899 ; peintre, lithographe et graveur anglais)	https://francearchives.fr/fr/agent/18511317	Moret-sur-Loing (Seine-et-Marne, France)	https://francearchives.fr/fr/location/30311695
Apel. les Fenosa	https://francearchives.fr/pages_histoire/39608	sculpture	https://francearchives.fr/fr/subject/130953741	 Fenosa, Apeŀles(1899-1988 ; sculpteur espagnol)	https://francearchives.fr/fr/agent/18604640	Oradour-sur-Glane (Haute-Vienne, France)	https://francearchives.fr/fr/location/130965287
Aristide Cavaillé-Coll 	https://francearchives.fr/pages_histoire/39772	musique	https://francearchives.fr/fr/subject/130949414	Cavaillé-Coll, Aristide (1811-1899 ; facteur d'orgue français)	https://francearchives.fr/fr/agent/18608290		
Armand Salacrou 	https://francearchives.fr/pages_histoire/39940	art dramatique	https://francearchives.fr/fr/subject/18259958	Salacrou, Armand (1899-1989 ; auteur dramatique français)	https://francearchives.fr/fr/agent/18611895		
Benjamin Péret	https://francearchives.fr/pages_histoire/39938	littérature	https://francearchives.fr/fr/subject/301150616	Péret, Benjamin (1899-1959 ; écrivain et poète surréaliste français)	https://francearchives.fr/fr/agent/18696763		
Bertrand François Mahé de La Bourdonnais	https://francearchives.fr/pages_histoire/39972	marine###colonisation	https://francearchives.fr/fr/subject/131242309###https://francearchives.fr/fr/subject/131003147	La Bourdonnais Bertrand François Mahé, comte de (1699-1753 ; officier de marine français)	https://francearchives.fr/fr/agent/18419796	Saint-Malo (Ille-et-Vilaine)	https://francearchives.fr/fr/location/18353137
Camille Jenatzy dépasse les 100 km/h à bord d’une automobile électrique	https://francearchives.fr/pages_histoire/39439	véhicule automobile###sport	https://francearchives.fr/fr/subject/132090488###https://francearchives.fr/fr/subject/132091059				
Charles Dullin 	https://francearchives.fr/pages_histoire/39579	art dramatique	https://francearchives.fr/fr/subject/18259958	Dullin, Charles (1885-1949 ; acteur français)	https://francearchives.fr/fr/agent/84382276		
Création de l’Assistance Publique	https://francearchives.fr/pages_histoire/39977	protection sociale###santé	https://francearchives.fr/fr/subject/167740141### https://francearchives.fr/fr/subject/130776807	Assistance publique-Hôpitaux de Paris 	https://francearchives.fr/fr/agent/70682290	Paris (Paris, France)	https://francearchives.fr/fr/location/217173433
Création de la Régie Autonome des Transports Parisiens (RATP)	https://francearchives.fr/pages_histoire/39298	circulation urbaine###transport en commun	https://francearchives.fr/fr/subject/131445518###https://francearchives.fr/fr/subject/132090497 	Régie autonome des transports parisiens 	https://francearchives.fr/fr/agent/18640090	Paris (Paris, France)	https://francearchives.fr/fr/location/217173433
Le Conseil d'État 	https://francearchives.fr/pages_histoire/39974	institutions###législation### Consulat (1799-1804)	 https://francearchives.fr/fr/subject/131513049###https://francearchives.fr/fr/subject/131513685###https://francearchives.fr/fr/subject/224126559	Conseil d'État 	https://francearchives.fr/fr/agent/18960054		
Le Conseil de l'Europe	https://francearchives.fr/pages_histoire/38759	assemblée européenne###droit communautaire###institutions	ht/ francearchives.fr/fr/subject/18272399###https://francearchives.fr/fr/subject/18285341###https://francearchives.fr/fr/subject/131513049	Conseil de l'Europe	https://francearchives.fr/fr/agent/18959986	Strasbourg (Bas-Rhin)	https://francearchives.fr/fr/location/18334561
Le Sénat	https://francearchives.fr/pages_histoire/39975	institutions###législation###organe délibérant	https://francearchives.fr/fr/subject/131513049###https://francearchives.fr/fr/subject/131513685###https://francearchives.fr/fr/subject/18267766	Sénat	https://francearchives.fr/fr/agent/131450901		
Découverte de la Pierre de Rosette	https://francearchives.fr/pages_histoire/39973	découverte scientifique 	https://francearchives.fr/fr/subject/169254679	Champollion, Jean-François (1790-1832 ; égyptologue français)	https://francearchives.fr/fr/agent/130928642	Égypte	https://francearchives.fr/fr/location/130932837
Edmond Michelet	https://francearchives.fr/pages_histoire/38757	résistance###élu###administration centrale	https://francearchives.fr/fr/subject/130959884###https://francearchives.fr/fr/subject/130672660###https://francearchives.fr/fr/subject/130921480	Edmond Michelet, Edmond (1899-1970 ; homme politique français)	https://francearchives.fr/fr/agent/131003801		
Entrée en vigueur du timbre-poste	https://francearchives.fr/pages_histoire/39976	poste 	https://francearchives.fr/fr/subject/130720367				
Ernest Chausson	https://francearchives.fr/pages_histoire/39770	musique 	https://francearchives.fr/fr/subject/130949414 	Chausson, Ernest (1855-1899, compositeur français)	https://francearchives.fr/fr/agent/130950821		
Étienne Jacques de Montgolfier 	https://francearchives.fr/pages_histoire/39862	invention	https://francearchives.fr/fr/subject/130933374 	Montgolfier, Étienne Jacques de (1745-1799 ; industriel et inventeur français)	https://francearchives.fr/fr/agent/19022979		
Etienne Louis Boullée	https://francearchives.fr/pages_histoire/40039	architecture 	https://francearchives.fr/fr/subject/130953121	Boullée, Etienne-Louis (1728-1799 ; architecte français)	https://francearchives.fr/fr/agent/18765763		
Eugène Carrière	https://francearchives.fr/pages_histoire/39715	peinture	https://francearchives.fr/fr/subject/132028797	Carrière, Eugène (1849-1906 ; peintre français)	https://francearchives.fr/fr/agent/130838996		
Fixation de la longueur définitive du mètre	https://francearchives.fr/pages_histoire/39436	poids-et-mesures	https://francearchives.fr/fr/subject/170958013				
Formation de l’École de Nancy	https://francearchives.fr/pages_histoire/39713	art###vie intellectuelle	https://francearchives.fr/fr/subject/131990462###https://francearchives.fr/fr/subject/222798			Nancy (Meurthe-et-Moselle)	https://francearchives.fr/fr/location/27162385
Françis Ponge	https://francearchives.fr/pages_histoire/39939	poésie	https://francearchives.fr/fr/subject/221204583 	Ponge, Francis (1899-1988 ; écrivain français)	https://francearchives.fr/fr/agent/30353863		
Francis Poulenc	https://francearchives.fr/pages_histoire/39503	musique	https://francearchives.fr/fr/subject/130949414 	Poulenc, Francis (1899-1963 ; compositeur et pianiste français)	https://francearchives.fr/fr/agent/167771419		
Frédéric Chopin	https://francearchives.fr/pages_histoire/40037	musique	https://francearchives.fr/fr/subject/130949414 	Chopin, Frédéric (1810-1849 ; compositeur et pianiste franco-polonais)	https://francearchives.fr/fr/agent/18905667	Pologne	https://francearchives.fr/fr/location/130836272
Georges Auric 	https://francearchives.fr/pages_histoire/39769	musique	https://francearchives.fr/fr/subject/130949414 	Auric, Georges (1899-1983 ; compositeur français)	https://francearchives.fr/fr/agent/256193499		
Gyula Halász, dit Brassaï	https://francearchives.fr/pages_histoire/39774	arts plastiques	https://francearchives.fr/fr/subject/131051621	Brassaï (1899-1984 ; photographe hongrois)	https://francearchives.fr/fr/agent/18780764		
Henri Michaux	https://francearchives.fr/pages_histoire/39538	poésie###peinture 	https: //francearchives.fr/fr/subject/221204583###https://francearchives.fr/fr/subject/132028797 	Michaux, Henri (1899-1984 ; peintre et poète français)	https://francearchives.fr/fr/agent/84382475		
Henry Monnier	https://francearchives.fr/pages_histoire/38679	peinture###littérature###art dramatique 	https://francearchives.fr/fr/subject/132028797###https://francearchives.fr/fr/subject/130950597###https://francearchives.fr/fr/subject/18259958 	Monnier, Henry (1899-1877 ; écrivain, peintre et artiste dramatique français)	https://francearchives.fr/fr/agent/19356696		
Honoré de Balzac	https://francearchives.fr/pages_histoire/39269	littérature 	https://francearchives.fr/fr/subject/301150616	Balzac, Honoré de (1899-1950 ; écrivain français)	https://francearchives.fr/fr/agent/131033283		
Jacques Audiberti	https://francearchives.fr/pages_histoire/38719	littérature	https://francearchives.fr/fr/subject/301150616	Audiberti, Jacques (1899-1965 ; écrivain, poète et dramaturge français)	https://francearchives.fr/fr/agent/18625321		
Jacques Copeau	https://francearchives.fr/pages_histoire/39861	art dramatique 	https://francearchives.fr/fr/subject/18259958 	 Copeau, Jacques (1879-1949)	https://francearchives.fr/fr/agent/18442921		
Jacques Fromental Halévy	https://francearchives.fr/fr/pages_histoire/40038	musique	https://francearchives.fr/fr/subject/130949414 	Halévy, Jacques Fromental Lévy dit (1791-1862 ; compositeur français)	https://francearchives.fr/fr/agent/86128353		
Jean Charles de Borda	https://francearchives.fr/pages_histoire/39863	découverte scientifique###marine###Mouvement des Lumières	https://francearchives.fr/fr/subject/169254679###https://francearchives.fr/fr/subject/162945863###https://francearchives.fr/fr/subject/131726467				
Jean-François Marmontel, Jean-François 	https://francearchives.fr/pages_histoire/38676	littérature### Mouvement des Lumières	https://francearchives.fr/fr/subject/130950597###https://francearchives.fr/fr/subject/131726467	Marmontel, Jean-François (1723-1977 ; encyclopédiste, historien, conteur, romancier, grammairien et poète, dramaturge et philosophe français)	https://francearchives.fr/fr/agent/131513446		
Jean Moulin	https://francearchives.fr/pages_histoire/38758	Résistance	https://francearchives.fr/fr/subject/130959884	Moulin, Jean (1899-1943 ; résistant et haut-fonctionnaire français)	https://francearchives.fr/fr/agent/130965323		
Jean Racine	https://francearchives.fr/pages_histoire/39162	art dramatique	https://francearchives.fr/fr/subject/18259958 	Racine, Jean (1639-1699 ; dramaturge, poète et historiographe français)	https://francearchives.fr/fr/agent/131444673		
Jean Baptiste Siméon Chardin	https://francearchives.fr/pages_histoire/39884	peinture	https://francearchives.fr/fr/subject/132028797 	Chardin, Jean-Baptiste Siméon (1699-1779 ; peintre français)	https://francearchives.fr/fr/agent/30328035		
Johann Wolfgang von Goethe	https://francearchives.fr/pages_histoire/39271	littérature 	https://francearchives.fr/fr/subject/301150616	Goethe, Johann Wolfgang von (1749-1832 ; poète et écrivain allemand)	https://francearchives.fr/fr/agent/168610051	Allemagne	https://francearchives.fr/fr/location/130809317
Louis Guilloux	https://francearchives.fr/pages_histoire/39937	littérature 	https://francearchives.fr/fr/subject/301150616	Guilloux, Louis (1899-1980 ; écrivain français)	https://francearchives.fr/fr/agent/19335979	Saint-Brieuc (Côtes-d’Armor)	https://francearchives.fr/fr/location/167885256
Marcel Achard	https://francearchives.fr/pages_histoire/38678	littérature###art dramatique 	https://francearchives.fr/fr/subject/130950597###https://francearchives.fr/fr/subject/18259958	Achard, Marcel (1899-1974 ; écrivain français)	https://francearchives.fr/fr/agent/232233777		
Marcel Arland	https://francearchives.fr/pages_histoire/39154	littérature	https://francearchives.fr/fr/subject/301150616	Arland, Marcel (1899-1983 ; écrivain français) 	https://francearchives.fr/fr/agent/131795100		
Marguerite de Navarre	https://francearchives.fr/pages_histoire/39300	littérature###renaissance	https://francearchives.fr/fr/subject/130950597###https://francearchives.fr/fr/subject/131693346	Marguerite d’Angoulème (1492-1549, reine de Navarre)	https://francearchives.fr/fr/agent/18412354		
Marsile Ficin	https://francearchives.fr/pages_histoire/38760	philosophie###Renaissance	https://francearchives.fr/fr/subject/130850802###https://francearchives.fr/fr/subject/131693346	Ficin, Marsile (1433-1499 ; philosophe italien)	https://francearchives.fr/fr/agent/301271230	Florence (Italie)	https://francearchives.fr/fr/location/130829968
Nicolas Appert	https://francearchives.fr/pages_histoire/39860	alimentation###découverte scientifique	https://francearchives.fr/fr/subject/130952238###https://francearchives.fr/fr/subject/169254679	Appert, Nicolas (1752-1841, inventeur français)	https://francearchives.fr/fr/agent/127779276		
Nicolas Clérambault	https://francearchives.fr/pages_histoire/40040	musique	https://francearchives.fr/fr/subject/130949414	Clérambault, Nicolas (1676-1749 ; compositeur et organiste français)	https://francearchives.fr/fr/agent/18941146		
Organisation de l' Académie royale des Sciences par Louis XIV	https://francearchives.fr/pages_histoire/39971	recherche scientifique	https://francearchives.fr/fr/subject/130727818	Académie des sciences (France)	https://francearchives.fr/fr/agent/214713620		
Parution de La deffence, et illustration de la langue francoyse	https://francearchives.fr/pages_histoire/39511	littérature###renaissance	https://francearchives.fr/fr/subject/130950597###https://francearchives.fr/fr/subject/131693346	Du Bellay, Joachim (1522?-1560 ; poète français)###Ronsard, Pierre de (1524-1585 ; poète français)	https://francearchives.fr/fr/agent/130980098###https://francearchives.fr/fr/agent/120215425		
Parution des Aventures de Télémaque de Fénelon	https://francearchives.fr/pages_histoire/38754	littérature 	https://francearchives.fr/fr/subject/301150616	Salignac de La Mothe Fénelon, François de (1651-1715 ; prédicateur et théologien français)###Louis XIV (1638-1715 ; roi de France)	https://francearchives.fr/fr/agent/19015336###https://francearchives.fr/fr/agent/130776325		
Parution des trois premiers volumes de l’Histoire naturelle de Buffon	https://francearchives.fr/pages_histoire/39578	recherche scientifique###sciences de la vie et de la terre	https://francearchives.fr/fr/subject/128994347###https://francearchives.fr/fr/subject/213703462	Buffon, Georges-Louis Leclerc (1707-1788 ; comte de ; naturaliste français))	https://francearchives.fr/fr/agent/214698627 		
Pierre Augustin Caron de Beaumarchais	https://francearchives.fr/pages_histoire/39270	littérature###art dramatique 	https://francearchives.fr/fr/subject/130950597###https://francearchives.fr/fr/subject/18259958 	Beaumarchais, Pierre-Augustin Caron de (1732-1799 ; écrivain, musicien, homme d'affaires et poète français)	https://francearchives.fr/fr/agent/131000031		
Pierre Simon Laplace	https://francearchives.fr/pages_histoire/39859	sciences physiques###astronomie###mathématiques	https://francearchives.fr/fr/subject/30299720###https://francearchives.fr/fr/subject/130828109###https://francearchives.fr/fr/subject/130852103	Laplace, Pierre Simon de (1749-1827 ; mathématicien, physicien, astronome français)	https://francearchives.fr/fr/agent/19052220		
Pierre Subleyras	https://francearchives.fr/pages_histoire/39936	peinture	https://francearchives.fr/fr/subject/132028797	Subleyras, Pierre (1699-1749 ; peintre français)	https://francearchives.fr/fr/agent/217851421		
Hippolyte Fizeau effectue la première mesure précise de la célérité de la lumière dans l'air	https://francearchives.fr/pages_histoire/39396	découverte scientifique###sciences physiques	https://francearchives.fr/fr/subject/169254679###https://francearchives.fr/fr/subject/30299720	Fizeau, Armand Hippolyte Louis (1819-1896 ; physicien français)	https://francearchives.fr/fr/agent/18610647		
Richard Coeur de Lion	https://francearchives.fr/pages_histoire/39121	Croisades (1095-1291)###féodalité 	https://francearchives.fr/fr/subject/223331509###https://francearchives.fr/fr/subject/130828106  	Richard Cœur de Lion (1157-1199 ; roi d’Angleterre)	https://francearchives.fr/fr/agent/74514459		
Robert Casadesus	https://francearchives.fr/pages_histoire/38718	musique	https://francearchives.fr/fr/subject/130949414 	Casadesus, Robert (1899-1972, compositeur et pianiste français)	https://francearchives.fr/fr/agent/271378510		
Roger Vitrac	https://francearchives.fr/pages_histoire/39941	art dramatique	https://francearchives.fr/fr/subject/18259958	 Vitrac, Roger (1899-1952 ; écrivain français)	https://francearchives.fr/fr/agent/131033118		
Rosa Bonheur	https://francearchives.fr/pages_histoire/39771	peinture###condition féminine	https://francearchives.fr/fr/subject/132028797###https://francearchives.fr/fr/subject/18258287	Bonheur, Rosa (1822-1899 ; artiste-peintre et sculptrice française)	https://francearchives.fr/fr/agent/18432735		
Simon Vouet	https://francearchives.fr/pages_histoire/39942	peinture 	https://francearchives.fr/fr/subject/132028797 	Vouet, Simon (1590-1649 ; peintre français)	https://francearchives.fr/fr/agent/19656024		
Sophie Feodorovna Rostopchine, comtesse de Ségur	https://francearchives.fr/pages_histoire/38677	littérature###enfant	https://francearchives.fr/fr/subject/130950597###https://francearchives.fr/fr/subject/221183268	Ségur, Sophie de (1799-1874) 	https://francearchives.fr/fr/agent/19091950		
André Le Nôtre	https://francearchives.fr/pages_histoire/39499	patrimoine architectural	https://francearchives.fr/fr/subject/222224	Le Nôtre, André (1613-1700 )###Louis XIV (1638-1715 ; roi de France)	https://francearchives.fr/fr/agent/18544048###https://francearchives.fr/fr/agent/130776325		
Antoine de Saint-Exupéry	https://francearchives.fr/commemo/recueil-2000/38930	littérature###aéronef 	https://francearchives.fr/fr/subject/130950597###https://francearchives.fr/fr/subject/128994451	Saint-Exupéry, Antoine de (1900-1944 ; aviateur, écrivain et poète français)	https://francearchives.fr/fr/agent/117515079		
Benvenuto Cellini	https://francearchives.fr/commemo/recueil-2000/38802	sculpture###Renaissance	https://francearchives.fr/fr/subject/130953741###https://francearchives.fr/fr/subject/131693346	Cellini, Benvenuto  (1500-1571 ; dessinateur, sculpteur, orfèvre et médailleur italien)	https://francearchives.fr/fr/agent/245293046	Florence (Italie)	https://francearchives.fr/fr/location/130829968
 Charles Joseph Natoire	https://francearchives.fr/commemo/recueil-2000/39574	peinture 	https://francearchives.fr/fr/subject/132028797	Natoire, Charles Joseph (1700-1777 ; peintre français)	https://francearchives.fr/fr/agent/18880692		
Claude Gellée, dit le Lorrain	https://francearchives.fr/commemo/recueil-2000/38798	peinture 	https://francearchives.fr/fr/subject/132028797				
Claude Le Jeune	https://francearchives.fr/commemo/recueil-2000/39573	musique	https://francearchives.fr/fr/subject/130949414 				
Consécration de l’église Notre-Dame de Toute Grâce d’Assy 	https://francearchives.fr/commemo/recueil-2000/38901	édifice cultuel###patrimoine architectural	https://francearchives.fr/fr/subject/130759504###https://francearchives.fr/fr/subject/222224			Passy (Haute-Savoie, France)	https://francearchives.fr/fr/location/214454718
Couronnement impérial de Charlemagne	https://francearchives.fr/commemo/recueil-2000/39997	chef d'État###frontière###monarchie	https://francearchives.fr/fr/subject/128993633###https://francearchives.fr/fr/subject/131241982###https://francearchives.fr/fr/subject/223584	Charlemagne (742?-814 ; empereur d'Occident et roi des Francs)	https://francearchives.fr/fr/agent/301192540		
Création de La cantatrice chauve d’Eugène Ionesco	https://francearchives.fr/commemo/recueil-2000/38681	art dramatique 	https://francearchives.fr/fr/subject/18259958	Ionesco, Eugène (1909-1994 ; écrivain et dramaturge roumain d'expression française)	https://francearchives.fr/fr/agent/131443236		
Création de la Société centrale d’éducation et d’assistance pour les sourds-muets en France	https://francearchives.fr/commemo/recueil-2000/39469	personne handicapée###éducation spéciale	https://francearchives.fr/fr/subject/130919670###https://francearchives.fr/fr/subject/130769479	Berthier, Ferdinand (1803-1886) ; L'Épée, Charles-Michel de (1712-1789)	https://francearchives.fr/fr/agent/18715988		
Création du corps préfectoral	https://francearchives.fr/commemo/recueil-2000/39466	administration préfectorale###décentralisation###fonctionnaire de l'État	https://francearchives.fr/fr/subject/130781230###https://francearchives.fr/fr/subject/129209327###https://francearchives.fr/fr/subject/166445562				
Création du SMIG	https://francearchives.fr/commemo/recueil-2000/39904	rémunération###Quatrième République (1946-1958)###législation	https://francearchives.fr/fr/subject/130640757###https://francearchives.fr/fr/subject/167776966###https://francearchives.fr/fr/subject/131513685				
Début de la publication de l’Histoire de France d’Ernest Lavisse	https://francearchives.fr/commemo/recueil-2000/39707	enseignement 	https://francearchives.fr/fr/subject/130951948 	Lavisse, Ernest (1842-1922) 	https://francearchives.fr/fr/agent/18436766		
Début des travaux préparatoires du Code civil	https://francearchives.fr/commemo/recueil-2000/39996	législation	https://francearchives.fr/fr/subject/131513685	Napoléon Ier (1769-1821 ; empereur des Français)	https://francearchives.fr/fr/agent/130744655		
Dominique-Vivant Denon	https://francearchives.fr/commemo/recueil-2000/38828	art###musée	https://francearchives.fr/fr/subject/131990462###https://francearchives.fr/fr/subject/130951589				
Établissement de la Banque de France	https://francearchives.fr/commemo/recueil-2000/39467	établissement de crédit###papier monnaie 	https://francearchives.fr/fr/subject/215628082### https://francearchives.fr/fr/subject/18284918 	Banque de France 	https://francearchives.fr/fr/agent/18653321		
Exposition universelle de Paris	https://francearchives.fr/commemo/recueil-2000/39384	manifestation commerciale###tourisme 	https://francearchives.fr/fr/subject/170357561###https://francearchives.fr/fr/subject/130692133			Paris (Paris, France)	https://francearchives.fr/fr/location/217173433
Formulation de la théorie des quanta par Max Planck	https://francearchives.fr/commemo/recueil-2000/39805	sciences physiques	https://francearchives.fr/fr/subject/30299720	Planck, Max (1858-1947 ; physicien allemand)	https://francearchives.fr/fr/agent/301190863		
 Frédéric Joliot-Curie	https://francearchives.fr/commemo/recueil-2000/39804	sciences physiques	https://francearchives.fr/fr/subject/30299720	Joliot-Curie, Jean Frédéric (1900-1958)###Joliot-Curie, Irène (1897-1956) 	https://francearchives.fr/fr/agent/232233717###https://francearchives.fr/fr/agent/229349983		
Guillaume de Machaut	https://francearchives.fr/commemo/recueil-2000/39575	littérature###musique###Moyen-Âge	https://francearchives.fr/fr/subject/130950597###https://francearchives.fr/fr/subject/130949414###https://francearchives.fr/fr/subject/131572578	Machaut, Guillaume de (1300?-1377 ; musicien)	https://francearchives.fr/fr/agent/30328265		
Guy de Maupassant	https://francearchives.fr/commemo/recueil-2000/39847	littérature	https://francearchives.fr/fr/subject/301150616	Maupassant, Guy de (1850-1893 ; écrivain français)	https://francearchives.fr/fr/agent/19037050		
Henri Louis Duhamel du Monceau	https://francearchives.fr/commemo/recueil-2000/39879	sylviculture###marine	 https://francearchives.fr/fr/subject/130678968###https://francearchives.fr/fr/subject/131242309	Duhamel du Monceau, Henri Louis (1700-1782 ; botaniste et agronome français)	https://francearchives.fr/fr/agent/19132701		
Installation par Gutenberg d’un atelier d’imprimerie à Mayence	https://francearchives.fr/commemo/recueil-2000/38902	métiers du livre###invention	https://francearchives.fr/fr/subject/222452###https://francearchives.fr/fr/subject/218304216	Gutenberg, Johannes (1394?-1468 ; imprimeur allemand, inventeur de l'imprimerie)	https://francearchives.fr/fr/agent/84382777	Mayence (Allemagne)	https://francearchives.fr/fr/location/217973972
Invention de la pile électrique par Volta	https://francearchives.fr/commemo/recueil-2000/39020	découverte scientifique###sciences physiques	 https://francearchives.fr/fr/subject/169254679###https://francearchives.fr/fr/subject/30299720	Alessandro Volta (1745-1827 ; physicien et chimiste italien)	https://francearchives.fr/fr/agent/301259073		
Jacques Coeur	https://francearchives.fr/commemo/recueil-2000/39998	finances publiques###patrimoine architectural###Moyen-Âge	https://francearchives.fr/fr/subject/130826353###https://francearchives.fr/fr/subject/222224###https://francearchives.fr/fr/subject/131572578	Cœur, Jacques (1395-1456 ; grand argentier de France au XVe siècle)	https://francearchives.fr/fr/agent/18946202	Bourges (Cher)	https://francearchives.fr/fr/location/167884903
Jacques Prévert	https://francearchives.fr/commemo/recueil-2000/38703	poésie###cinéma 	https://francearchives.fr/fr/subject/221204583###https://francearchives.fr/fr/subject/132090528	Prévert, Jacques (1900-1977 ; poète et scénariste français)	https://francearchives.fr/fr/agent/131446259		
Jean Rotrou	https://francearchives.fr/commemo/recueil-2000/39375	art dramatique 	https://francearchives.fr/fr/subject/18259958	Rotrou, Jean de ((1609-1650 ; dramaturge et poète français)###Corneil, Pierre	https://francearchives.fr/fr/agent/19044231###https://francearchives.fr/fr/agent/131007666		
Jean-Baptiste Dumas	https://francearchives.fr/commemo/recueil-2000/39626	sciences physiques###élu	https://francearchives.fr/fr/subject/30299720###https://francearchives.fr/fr/subject/130672660	Dumas, Jean-Baptiste (1800-1884 ; chimiste et homme politique français)	https://francearchives.fr/fr/agent/19138317		
Jean-Sébastien Bach	https://francearchives.fr/commemo/recueil-2000/38805	musique	https://francearchives.fr/fr/subject/130949414 	Bach, Jean Sébastien (1685-1750 ; claveciniste, organiste et compositeur allemand)	https://francearchives.fr/fr/agent/18645406	Allemagne	https://francearchives.fr/fr/location/130809317
L’abbé Nollet	https://francearchives.fr/commemo/recueil-2000/39809	sciences physiques###artisan	https://francearchives.fr/fr/subject/30299720###https://francearchives.fr/fr/subject/221557283	Nollet, Jean-Antoine (1700 -1770) 	https://francearchives.fr/fr/agent/18592478		
Lancement du Plan Schuman pour la Communauté européenne du charbon et de l’acier (CECA)	https://francearchives.fr/commemo/recueil-2000/39470	relations européennes###houille###métallurgie	https://francearchives.fr/fr/subject/18276189###https://francearchives.fr/fr/subject/130851984###https://francearchives.fr/fr/subject/131911923	Schuman, Robert (1886-1963)###Communauté européenne du charbon et de l'acier###Monnet, Jean (1888-1979)	https://francearchives.fr/fr/agent/19645645###https://francearchives.fr/fr/agent/112651073###https://francearchives.fr/fr/agent/19422711		
Léo Lagrange	https://francearchives.fr/commemo/recueil-2000/39468	éducation populaire###Front populaire (1936-1938)###loisir###tourisme	https://francearchives.fr/fr/subject/131789757###https://francearchives.fr/fr/subject/167898903###https://francearchives.fr/fr/subject/131443330###https://francearchives.fr/fr/subject/130692133	Lagrange, Léo (1900-1940) 	https://francearchives.fr/fr/agent/19478525		
Léon Blum	https://francearchives.fr/commemo/recueil-2000/39376	socialisme### Front populaire (1936-1938)###chef d'État ###Guerre 1939-1945	https://francearchives.fr/fr/subject/18265827###https://francearchives.fr/fr/subject/167898903###https://francearchives.fr/fr/subject/128993633###https://francearchives.fr/fr/subject/229154479	Blum, Léon (1872-1950)###Parti socialiste SFIO (France) 	https://francearchives.fr/fr/agent/131804447###https://francearchives.fr/fr/agent/165912582 		
Ligier Richier	https://francearchives.fr/commemo/recueil-2000/38800	sculpture###Renaissance	https://francearchives.fr/fr/subject/130953741###https://francearchives.fr/fr/subject/131693346	Richier, Ligier (1500?-1567) 	https://francearchives.fr/fr/agent/130797673		
Louis Joseph Gay-Lussac	https://francearchives.fr/commemo/recueil-2000/39806	sciences physiques###découverte scientifique	https://francearchives.fr/fr/subject/30299720###https://francearchives.fr/fr/subject/169254679	Gay-Lussac, Louis-Joseph (1778-1850 	https://francearchives.fr/fr/agent/19277516		
 Luis  Buñuel	https://francearchives.fr/commemo/recueil-2000/39883	cinéma 	https://francearchives.fr/fr/subject/132090528			Espagne	https://francearchives.fr/fr/location/131827928
Marc Sangnier	https://francearchives.fr/commemo/recueil-2000/40007	catholicisme ###éducation populaire###mouvement pacifiste	https://francearchives.fr/fr/subject/130736691###https://francearchives.fr/fr/subject/131789757###https://francearchives.fr/fr/subject/18278340	Sangnier, Marc (1873-1950) 	https://francearchives.fr/fr/agent/131368946		
Marcel Mauss	https://francearchives.fr/commemo/recueil-2000/40110	sciences humaines###socialisme	https://francearchives.fr/fr/subject/18260748###https://francearchives.fr/fr/subject/18265827	Mauss, Marcel (1872-1950) 	https://francearchives.fr/fr/agent/19543219		
Oscar Wilde	https://francearchives.fr/commemo/recueil-2000/39377	littérature###art dramatique 	https://francearchives.fr/fr/subject/130950597###https://francearchives.fr/fr/subject/18259958	Wilde, Oscar (1854-1900) 	https://francearchives.fr/fr/agent/30350334		
Parution de L’Interprétation des rêves de Sigmund Freud	https://francearchives.fr/commemo/recueil-2000/38702	santé###recherche scientifique	https://francearchives.fr/fr/subject/127754103###https://francearchives.fr/fr/subject/128994347	Freud, Sigmund (1856-1939) 	https://francearchives.fr/fr/agent/301269060		
Parution des deux premiers tomes des Leçons d’anatomie comparée de Georges Cuvier	https://francearchives.fr/commemo/recueil-2000/39629	sciences de la vie et de la terre	https://francearchives.fr/fr/subject/213703462	Cuvier, Georges (1769-1832) 	https://francearchives.fr/fr/agent/18987293		
Parution des Recherches physiologiques sur la vie et la mort de Bichat	https://francearchives.fr/commemo/recueil-2000/39366	médecin###sciences de la vie et de la terre	https://francearchives.fr/fr/subject/217848993###https://francearchives.fr/fr/subject/213703462	Bichat, Xavier (1771-1802) 	https://francearchives.fr/fr/agent/18724845		
Parution des Vies des plus excellents architectes, peintres et sculpteurs de Giorgio Vasari	https://francearchives.fr/commemo/recueil-2000/38801	art###Renaissance	https://francearchives.fr/fr/subject/131990462###https://francearchives.fr/fr/subject/131693346	Vasari, Giorgio (1562-1625 ; peintre et historien de l'art italien)	https://francearchives.fr/fr/agent/301191210		
Parution du Théâtre d’agriculture et mesnage des champs d’Olivier de Serres	https://francearchives.fr/commemo/recueil-2000/39943	agriculture 	https://francearchives.fr/fr/subject/130949766 	Serres, Olivier de (1539-1619) 	https://francearchives.fr/fr/agent/19083920		
